nsites,chemsys,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,crystal_system,a,b,c,alpha,beta,gamma,element_1,element_2,element_3,atomic_num1,atomic_num2,atomic_num3,element_1_group_number,element_1_row_number,element_1_electronegativity,element_1_atomic_radius,element_2_group_number,element_2_row_number,element_2_electronegativity,element_2_atomic_radius,element_3_group_number,element_3_row_number,element_3_electronegativity,element_3_atomic_radius,element_1_atomic_radius_calculated,element_1_van_der_waals_radius,element_1_mendeleev_no,element_1_molar_volume,element_1_electron_affinity,element_1_first_ionization_energy,element_1_coefficient_of_linear_thermal_expansion,element_1_density_of_solid,element_1_boiling_point,element_1_melting_point,element_1_thermal_conductivity,element_2_atomic_radius_calculated,element_2_van_der_waals_radius,element_2_mendeleev_no,element_2_molar_volume,element_2_electron_affinity,element_2_first_ionization_energy,element_2_coefficient_of_linear_thermal_expansion,element_2_density_of_solid,element_2_boiling_point,element_2_melting_point,element_2_thermal_conductivity,element_3_atomic_radius_calculated,element_3_van_der_waals_radius,element_3_mendeleev_no,element_3_molar_volume,element_3_electron_affinity,element_3_first_ionization_energy,element_3_coefficient_of_linear_thermal_expansion,element_3_density_of_solid,element_3_boiling_point,element_3_melting_point,element_3_thermal_conductivity,element_1_ionic_radius,element_2_ionic_radius,element_3_ionic_radius,element_1_avg_ionic_radius,element_2_avg_ionic_radius,element_3_avg_ionic_radius,element_1_covalent_radius,element_1_fusion_heat,element_1_atomic_mass,element_1_specific_heat,element_1_evaporation_heat,element_1_dipole_polarizability,element_1_density,element_2_covalent_radius,element_2_fusion_heat,element_2_atomic_mass,element_2_specific_heat,element_2_evaporation_heat,element_2_dipole_polarizability,element_2_density,element_3_covalent_radius,element_3_fusion_heat,element_3_atomic_mass,element_3_specific_heat,element_3_evaporation_heat,element_3_dipole_polarizability,element_3_density
5,Ac-O-Sc,70.19180130743561,7.569207408829243,14.038360261487123,-23.307931165000003,-3.724347496500002,False,3.3847000000000005,8.3626,4.9779,5.11443989,True,False,False,NM,7.43e-05,1.0585281844324062e-06,7.43e-05,Cubic,4.125046,4.125046,4.125046,90.0,90.0,90.0,Ac,O,Sc,89,8,21,3,7,1.1,1.95,16,2,3.44,0.6,3,4,1.36,1.6,,2.47,48.0,22.55,0.35,5.380226,,10070.0,3573.0,1323.0,12.0,0.48,1.52,101.0,17.36,1.4611053,13.618055,,,90.2,54.8,0.02658,1.84,2.15,19.0,15.0,0.1882,6.56149,1.02e-05,2985.0,3103.0,1814.0,16.0,{3: 1.26},{-2: 1.26},{3: 0.885},1.26,1.26,0.885,186.0,10.5,227.0,0.12,292.9,203.0,10.0,63.0,,15.999,0.918,,5.3,0.0013080000000000001,148.0,15.8,44.955908,0.568,332.7,97.0,2.99
5,Ac-O-Si,62.5790478372491,8.042345508493089,12.51580956744982,-21.775621347249995,-2.716982230749994,False,0.0,,,10.58456163,False,True,False,NM,0.000274,4.378462272430202e-06,0.000274,Cubic,3.970175,3.970175,3.970175,90.0,90.0,90.0,Ac,O,Si,89,8,14,3,7,1.1,1.95,16,2,3.44,0.6,14,3,1.9,1.1,,2.47,48.0,22.55,0.35,5.380226,,10070.0,3573.0,1323.0,12.0,0.48,1.52,101.0,17.36,1.4611053,13.618055,,,90.2,54.8,0.02658,1.11,2.1,85.0,12.06,1.38952128,8.15168,2.6e-06,2330.0,3173.0,1687.0,150.0,{3: 1.26},{-2: 1.26},{4: 0.54},1.26,1.26,0.54,186.0,10.5,227.0,0.12,292.9,203.0,10.0,63.0,,15.999,0.918,,5.3,0.0013080000000000001,115.99999999999999,50.6,28.085,0.712,383.0,37.3,2.3296
5,Ac-O-Ti,63.7995700747627,8.403352518165326,12.759914014952539,-23.405721928,-3.5142843278333316,True,0.0,,,8.83206909,False,True,False,NM,0.1609683,0.0025230311083816303,0.1609683,Cubic,3.99582001,3.99582001,3.99582001,90.0,90.0,90.0,Ac,O,Ti,89,8,22,3,7,1.1,1.95,16,2,3.44,0.6,4,4,1.54,1.4,,2.47,48.0,22.55,0.35,5.380226,,10070.0,3573.0,1323.0,12.0,0.48,1.52,101.0,17.36,1.4611053,13.618055,,,90.2,54.8,0.02658,1.76,2.11,51.0,10.64,0.075545,6.82812,8.6e-06,4507.0,3560.0,1941.0,22.0,{3: 1.26},{-2: 1.26},"{2: 1.0, 3: 0.81, 4: 0.745}",1.26,1.26,0.8516666666666667,186.0,10.5,227.0,0.12,292.9,203.0,10.0,63.0,,15.999,0.918,,5.3,0.0013080000000000001,136.0,18.8,47.867,0.523,422.6,100.0,4.506
5,Ac-O-V,62.471313314162764,8.6637462299545,12.494262662832552,-8.750861914000003,-3.138487465000003,True,0.0,,,7.78536741,False,True,True,FM,2.0000001,0.032014695928388355,2.0000001,Cubic,3.96789433,3.96789746,3.96789433,90.0,90.0,90.0,Ac,O,V,89,8,23,3,7,1.1,1.95,16,2,3.44,0.6,5,4,1.63,1.35,,2.47,48.0,22.55,0.35,5.380226,,10070.0,3573.0,1323.0,12.0,0.48,1.52,101.0,17.36,1.4611053,13.618055,,,90.2,54.8,0.02658,1.71,2.07,54.0,8.32,0.527662,6.746187,8.4e-06,6110.0,3680.0,2183.0,31.0,{3: 1.26},{-2: 1.26},"{2: 0.93, 3: 0.78, 4: 0.72, 5: 0.68}",1.26,1.26,0.7775,186.0,10.5,227.0,0.12,292.9,203.0,10.0,63.0,,15.999,0.918,,5.3,0.0013080000000000001,134.0,17.5,50.9415,0.489,460.0,87.0,6.0
20,Ag-Br-S,484.80551764514917,5.967646430204268,24.240275882257457,-17.2452842545,-0.19448457306249622,False,0.2964,1.604,1.3076,1.4129369,False,False,False,NM,0.0033129,6.8334618304094054e-06,0.000828225,Orthorhombic,6.992429542632875,6.992429542632875,9.917093,90.0,90.0,91.05071279836852,Ag,Br,S,47,35,16,11,5,1.93,1.6,17,4,2.96,1.15,16,3,2.58,1.0,1.65,2.11,71.0,10.27,1.304473,7.576234,1.89e-05,10490.0,2435.0,1234.93,430.0,0.94,1.85,98.0,19.78,3.3635883,11.81381,,,332.0,265.8,0.12,0.88,1.8,94.0,15.53,2.077104512,10.36001,,1960.0,717.87,388.36,0.205,"{1: 1.29, 2: 1.08, 3: 0.89}","{3: 0.73, 5: 0.45, 7: 0.53, -1: 1.82}","{4: 0.51, 6: 0.43, -2: 1.7}",1.0866666666666667,0.8825000000000001,0.8799999999999999,128.0,11.95,107.8682,0.235,254.1,55.0,10.5,113.99999999999999,10.57,79.904,0.474,29.56,21.0,3.1028,103.0,1.23,32.06,0.708,10.5,19.4,2.07
5,Ag-Br-S,118.09093879361743,6.124830461748297,23.618187758723487,-17.279898019999997,-0.2290983385624969,False,0.39870000000000005,1.8016,1.4029,1.40281016,False,False,False,NM,4.85e-05,4.107004355750056e-07,4.85e-05,Monoclinic,4.921708553163221,4.980664014931041,4.825298,90.0,90.0,93.27696025222015,Ag,Br,S,47,35,16,11,5,1.93,1.6,17,4,2.96,1.15,16,3,2.58,1.0,1.65,2.11,71.0,10.27,1.304473,7.576234,1.89e-05,10490.0,2435.0,1234.93,430.0,0.94,1.85,98.0,19.78,3.3635883,11.81381,,,332.0,265.8,0.12,0.88,1.8,94.0,15.53,2.077104512,10.36001,,1960.0,717.87,388.36,0.205,"{1: 1.29, 2: 1.08, 3: 0.89}","{3: 0.73, 5: 0.45, 7: 0.53, -1: 1.82}","{4: 0.51, 6: 0.43, -2: 1.7}",1.0866666666666667,0.8825000000000001,0.8799999999999999,128.0,11.95,107.8682,0.235,254.1,55.0,10.5,113.99999999999999,10.57,79.904,0.474,29.56,21.0,3.1028,103.0,1.23,32.06,0.708,10.5,19.4,2.07
10,Ag-Br-S,233.82701370779412,6.1865134204165955,23.38270137077941,-17.275300275,-0.22450059356249596,False,0.39769999999999994,1.9988,1.6011,1.67896818,False,False,False,NM,0.0005966,2.551458835058088e-06,0.0002983,Orthorhombic,6.978889373061016,6.905923242362892,6.864160667407487,60.902965835394646,59.84408841834318,59.25294574626218,Ag,Br,S,47,35,16,11,5,1.93,1.6,17,4,2.96,1.15,16,3,2.58,1.0,1.65,2.11,71.0,10.27,1.304473,7.576234,1.89e-05,10490.0,2435.0,1234.93,430.0,0.94,1.85,98.0,19.78,3.3635883,11.81381,,,332.0,265.8,0.12,0.88,1.8,94.0,15.53,2.077104512,10.36001,,1960.0,717.87,388.36,0.205,"{1: 1.29, 2: 1.08, 3: 0.89}","{3: 0.73, 5: 0.45, 7: 0.53, -1: 1.82}","{4: 0.51, 6: 0.43, -2: 1.7}",1.0866666666666667,0.8825000000000001,0.8799999999999999,128.0,11.95,107.8682,0.235,254.1,55.0,10.5,113.99999999999999,10.57,79.904,0.474,29.56,21.0,3.1028,103.0,1.23,32.06,0.708,10.5,19.4,2.07
10,Ag-I-S,247.258550725043,6.4817422363222,24.7258550725043,-3.078653433,-0.2505456424999988,False,0.4136000000000002,3.0478,2.6342,2.63467735,False,False,False,NM,0.000498,2.0140860590653023e-06,0.000249,Orthorhombic,7.115597778248711,7.032828703346399,6.99099549283312,60.97987424594448,59.80033117369699,59.21979458035854,Ag,I,S,47,53,16,11,5,1.93,1.6,17,5,2.66,1.4,16,3,2.58,1.0,1.65,2.11,71.0,10.27,1.304473,7.576234,1.89e-05,10490.0,2435.0,1234.93,430.0,1.15,1.98,97.0,25.72,3.05905238,10.45126,,4940.0,457.4,386.85,0.449,0.88,1.8,94.0,15.53,2.077104512,10.36001,,1960.0,717.87,388.36,0.205,"{1: 1.29, 2: 1.08, 3: 0.89}","{5: 1.09, 7: 0.67, -1: 2.06}","{4: 0.51, 6: 0.43, -2: 1.7}",1.0866666666666667,1.2733333333333334,0.8799999999999999,128.0,11.95,107.8682,0.235,254.1,55.0,10.5,133.0,15.52,126.90447,0.214,41.95,32.9,4.933,103.0,1.23,32.06,0.708,10.5,19.4,2.07
5,Ag-I-S,121.85555000145258,6.576090262229425,24.371110000290518,-3.098510538,-0.27040274749999893,False,0.7261000000000002,3.305,2.5789,2.60157681,False,False,False,NM,4.14e-05,3.397465277495074e-07,4.14e-05,Trigonal,4.957723769604353,4.957723769604353,4.957723388049196,89.90935870178335,89.90935870178335,89.909356802881,Ag,I,S,47,53,16,11,5,1.93,1.6,17,5,2.66,1.4,16,3,2.58,1.0,1.65,2.11,71.0,10.27,1.304473,7.576234,1.89e-05,10490.0,2435.0,1234.93,430.0,1.15,1.98,97.0,25.72,3.05905238,10.45126,,4940.0,457.4,386.85,0.449,0.88,1.8,94.0,15.53,2.077104512,10.36001,,1960.0,717.87,388.36,0.205,"{1: 1.29, 2: 1.08, 3: 0.89}","{5: 1.09, 7: 0.67, -1: 2.06}","{4: 0.51, 6: 0.43, -2: 1.7}",1.0866666666666667,1.2733333333333334,0.8799999999999999,128.0,11.95,107.8682,0.235,254.1,55.0,10.5,133.0,15.52,126.90447,0.214,41.95,32.9,4.933,103.0,1.23,32.06,0.708,10.5,19.4,2.07
5,Ag-I-S,125.72032925181091,6.373934116559119,25.144065850362182,-3.0489332300000003,-0.22082543949999903,False,0.6242999999999999,3.0614,2.4371,2.49977643,False,False,False,NM,3.08e-05,2.449882225356672e-07,3.08e-05,Cubic,5.009586,5.009586,5.009586,90.0,90.0,90.0,Ag,I,S,47,53,16,11,5,1.93,1.6,17,5,2.66,1.4,16,3,2.58,1.0,1.65,2.11,71.0,10.27,1.304473,7.576234,1.89e-05,10490.0,2435.0,1234.93,430.0,1.15,1.98,97.0,25.72,3.05905238,10.45126,,4940.0,457.4,386.85,0.449,0.88,1.8,94.0,15.53,2.077104512,10.36001,,1960.0,717.87,388.36,0.205,"{1: 1.29, 2: 1.08, 3: 0.89}","{5: 1.09, 7: 0.67, -1: 2.06}","{4: 0.51, 6: 0.43, -2: 1.7}",1.0866666666666667,1.2733333333333334,0.8799999999999999,128.0,11.95,107.8682,0.235,254.1,55.0,10.5,133.0,15.52,126.90447,0.214,41.95,32.9,4.933,103.0,1.23,32.06,0.708,10.5,19.4,2.07
