nsites,chemsys,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units
5,Ac-Al-O,57.4514132376898,8.728230081866649,11.49028264753796,-8.232146192000002,-3.6874377910000016,True,4.1024,10.906,6.8036,6.94886555,True,False,False,NM,0.0,0.0,0.0
5,Ac-B-O,51.54812640786059,9.206878605801688,10.309625281572119,-21.07904575,-2.305888712999999,False,0.8071000000000002,7.7035,6.8964,7.0377947,False,False,False,NM,0.0001327,2.5742933690750887e-06,0.0001327
5,Ac-Cr-O,61.36284504026082,8.848788046728616,12.272569008052164,-8.862593228,-3.1363904989999996,True,2.0031000000000008,8.2567,6.2536,6.3647368,False,False,True,FM,2.9999997,0.048889514461587756,2.9999997
5,Ac-Cu-O,59.92938665681022,9.380470938074593,11.985877331362044,-21.777598660000002,-2.304353262500001,True,0.0,,,6.21128354,False,True,False,NM,1.6e-06,2.6698087353413287e-08,1.6e-06
5,Ac-Fe-O,61.79731063258672,8.889999465919495,12.359462126517345,-8.258555312000002,-2.7689578350000006,True,0.9887999999999995,7.4875,6.4987,6.50904465,False,False,True,FM,4.2542759,0.06884241169156399,4.2542759
5,Ac-Ga-O,61.455078293307366,9.31449500321555,12.291015658661474,-22.577488406,-2.9850470185000004,True,2.895900000000001,8.1819,5.286,5.47693479,False,False,False,NM,0.0,0.0,0.0
5,Ac-Mg-O,64.78375373225691,7.671748358584634,12.956750746451382,-7.120950934,-2.999263695999999,False,0.0,,,4.93706474,False,True,True,FM,1.0000029,0.015436013543347393,1.0000029
5,Ac-Mn-O,62.241398829787876,8.802373253340264,12.448279765957576,-8.599044686,-2.971048392586206,True,0.0,,,6.56012414,False,True,True,FM,3.9999934,0.06426580178473847,3.9999934
5,Ac-Ni-O,58.35821779959113,9.494942767086057,11.671643559918227,-7.404515515999998,-2.452894944999997,True,0.0,,,6.06375679,False,True,False,NM,2.6e-06,4.455242291546155e-08,2.6e-06
5,Ac-O-Pd,66.68667373916479,9.497547055496376,13.337334747832958,-24.019067146,-2.1230902264999996,True,0.0,,,5.56064999,False,True,False,NM,1.89e-05,2.8341494544959007e-07,1.89e-05
5,Ac-O-Sc,70.19180130743561,7.569207408829243,14.038360261487123,-23.307931165000003,-3.724347496500002,False,3.3847000000000005,8.3626,4.9779,5.11443989,True,False,False,NM,7.43e-05,1.0585281844324062e-06,7.43e-05
5,Ac-O-Si,62.5790478372491,8.042345508493089,12.51580956744982,-21.775621347249995,-2.716982230749994,False,0.0,,,10.58456163,False,True,False,NM,0.000274,4.378462272430202e-06,0.000274
5,Ac-O-Ti,63.7995700747627,8.403352518165326,12.759914014952539,-23.405721928,-3.5142843278333316,True,0.0,,,8.83206909,False,True,False,NM,0.1609683,0.0025230311083816303,0.1609683
5,Ac-O-V,62.471313314162764,8.6637462299545,12.494262662832552,-8.750861914000003,-3.138487465000003,True,0.0,,,7.78536741,False,True,True,FM,2.0000001,0.032014695928388355,2.0000001
20,Ag-Br-S,484.80551764514917,5.967646430204268,24.240275882257457,-17.2452842545,-0.19448457306249622,False,0.2964,1.604,1.3076,1.4129369,False,False,False,NM,0.0033129,6.8334618304094054e-06,0.000828225
